# Generator: SplatKing 1.0.7 (build 26)
# Generated: 2026-06-27T17:25:43Z
# World frame: right-handed, gravity-aligned, +Y up
# Pose convention: COLMAP world-to-camera (X_cam = R * X_world + t)
# Camera-local axes: +X right, +Y down, +Z forward
# Applied basis change: M = diag(1, -1, -1) (ARKit camera → COLMAP camera; 180° about +X)
# Units: meters (translations, points3D); pixels (intrinsics)
# points3D.txt sentinels: ERROR = -1, TRACK[] empty by design (no bundle adjustment, no 2D-3D correspondences)
#
# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 71
10 0.610657904 -0.201506307 -0.360087978 0.675891101 -0.378160653 0.232953860 0.026656994 1 wide_20260627_192439_410.jpg

11 0.496389318 -0.076921598 -0.506711220 0.700660012 -0.411685867 0.223519915 -0.001055907 1 wide_20260627_192440_410.jpg

12 0.393193903 0.124027569 -0.596839588 0.688330025 -0.538025537 0.136541028 0.175478292 1 wide_20260627_192441_410.jpg

13 0.355861949 0.211173557 -0.637744812 0.649653413 -0.583223366 0.113391133 0.290633568 1 wide_20260627_192442_410.jpg

14 -0.220575539 -0.353492886 0.676312346 -0.607446147 -0.586006824 -0.027688551 0.284874067 1 wide_20260627_192443_410.jpg

15 -0.069736459 -0.447593548 0.706654079 -0.543541032 -0.567950801 -0.111387042 0.201291854 1 wide_20260627_192444_409.jpg

16 0.163619588 -0.553785994 0.665673255 -0.472682579 -0.498695928 -0.278342172 0.091884109 1 wide_20260627_192445_410.jpg

17 -0.374735352 0.630178566 -0.594828451 0.329586871 -0.372281828 -0.333172011 -0.040415168 1 wide_20260627_192446_410.jpg

18 -0.390628874 0.699212215 -0.556762677 0.220287730 -0.356408422 -0.394162426 -0.004451579 1 wide_20260627_192447_410.jpg

19 -0.389920098 0.715201464 -0.573001340 0.090103533 -0.433613802 -0.364513831 0.045598015 1 wide_20260627_192448_410.jpg

20 -0.427373062 0.705729967 -0.565059469 0.002297029 -0.456514336 -0.284719050 0.065583938 1 wide_20260627_192449_410.jpg

21 0.507893604 -0.702827821 0.494421835 0.060201249 -0.399403208 -0.260397681 -0.020601932 1 wide_20260627_192450_409.jpg

22 0.592373688 -0.682582654 0.393650448 0.167969222 -0.328933119 -0.211828289 -0.118855664 1 wide_20260627_192451_412.jpg

23 0.672405713 -0.627069134 0.251303839 0.302491716 -0.313313869 -0.088696191 -0.128462513 1 wide_20260627_192452_410.jpg

24 0.679416076 -0.659445973 0.146406917 0.286513209 -0.190635732 -0.080285615 -0.085158278 1 wide_20260627_192453_409.jpg

25 0.681218385 -0.699283683 0.096496894 0.193990188 -0.014616236 -0.086640695 -0.149781805 1 wide_20260627_192454_410.jpg

26 0.687950494 -0.714841236 0.100215448 0.075385597 0.094322174 -0.109066025 -0.160924057 1 wide_20260627_192455_410.jpg

27 0.646607221 -0.711234470 0.246289547 -0.124040674 0.089521473 -0.245357448 -0.173659448 1 wide_20260627_192456_410.jpg

28 -0.475118043 0.675161477 -0.450937521 0.339227324 -0.141620883 -0.405119355 -0.107133626 1 wide_20260627_192457_410.jpg

29 -0.263156368 0.657008192 -0.636874992 0.305743693 -0.482623348 -0.322622272 0.085831557 1 wide_20260627_192458_409.jpg

30 -0.237773779 0.674701805 -0.663119571 0.220257894 -0.537825584 -0.270597223 0.203258211 1 wide_20260627_192459_409.jpg

31 -0.394960498 0.684057324 -0.604304252 0.104346317 -0.471140695 -0.217565405 0.051367217 1 wide_20260627_192500_410.jpg

32 0.520949395 -0.689180732 0.502565621 0.032702332 -0.355211671 -0.219717995 -0.063361785 1 wide_20260627_192501_410.jpg

33 0.606049182 -0.670234585 0.399704302 0.154033960 -0.302734009 -0.154497806 -0.124416873 1 wide_20260627_192502_409.jpg

34 0.672738058 -0.637416026 0.269428165 0.261787661 -0.237627984 -0.054520657 -0.198062052 1 wide_20260627_192503_409.jpg

35 0.713946119 -0.560308596 0.164774406 0.386244237 -0.262415054 0.047815515 -0.131891262 1 wide_20260627_192504_409.jpg

36 0.727872994 -0.507159923 0.049426133 0.458853762 -0.258963993 0.122691667 -0.143752329 1 wide_20260627_192505_409.jpg

37 0.743880429 -0.349595223 0.075860403 0.564508890 -0.469957749 0.205536626 -0.035897068 1 wide_20260627_192506_409.jpg

